epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
94,2656.13,1.48021,2.0057,1.11544,1.02257,0,0.46981,0.5,0.50948,0.25499,0.49454,0.52632,0.56461,0.26425,1.73153,2.04502,1.83192,1.25643,0,0.00034655,0.00034655,0.00034655
95,2679.26,1.43078,1.86845,1.02088,0.97478,0,0.46981,0.5,0.50948,0.25499,0.49454,0.52632,0.56461,0.26425,1.73153,2.04502,1.83192,1.25643,0,0.0003449,0.0003449,0.0003449
96,2703.7,1.4328,1.89129,1.08263,0.99409,0,0.50697,0.52632,0.54426,0.27541,0.54386,0.52632,0.59949,0.2903,1.71149,1.96943,1.85693,1.24082,0,0.00034325,0.00034325,0.00034325
97,2728.05,1.29249,1.72494,0.98921,0.96308,0,0.59767,0.55263,0.63008,0.30124,0.59479,0.54098,0.6298,0.31885,1.67042,1.91588,1.83631,1.18476,0,0.0003416,0.0003416,0.0003416
98,2752.29,1.36524,1.89474,1.02131,0.99871,0,0.63809,0.57895,0.64573,0.32751,0.63011,0.57895,0.65806,0.35327,1.60112,1.89638,1.66827,1.14129,0,0.00033995,0.00033995,0.00033995
99,2776.9,1.36703,1.76649,1.05255,1.0097,0,0.69015,0.52632,0.67652,0.33465,0.63665,0.65789,0.69488,0.36643,1.58654,1.91385,1.50055,1.13133,0,0.0003383,0.0003383,0.0003383
100,2801.86,1.37956,1.72941,0.98285,0.99633,0,0.56125,0.63158,0.66573,0.32532,0.60456,0.65789,0.67492,0.33637,1.62897,1.98199,1.36779,1.15877,0,0.00033665,0.00033665,0.00033665
101,2826,1.34538,1.76198,1.00813,1.00013,0,0.58955,0.60478,0.65983,0.31959,0.61437,0.62893,0.67135,0.32628,1.71001,2.07157,1.346,1.20248,0,0.000335,0.000335,0.000335
102,2852.18,1.43196,1.86323,1.02261,1.0148,0,0.48426,0.68421,0.62842,0.31567,0.59986,0.63158,0.65988,0.31603,1.74386,2.1228,1.31622,1.23158,0,0.00033335,0.00033335,0.00033335
103,2876.03,1.2408,1.65138,1.34881,0.89206,0,0.48426,0.68421,0.62842,0.31567,0.59986,0.63158,0.65988,0.31603,1.74386,2.1228,1.31622,1.23158,0,0.0003317,0.0003317,0.0003317
104,2900.85,1.32389,1.65217,1.23865,0.90271,0,0.52323,0.63158,0.63324,0.31323,0.59001,0.71053,0.67339,0.33307,1.76638,2.13693,1.36483,1.25347,0,0.00033005,0.00033005,0.00033005
105,2925.05,1.39037,1.78078,1.12395,0.97629,0,0.58822,0.60526,0.62111,0.31411,0.6138,0.63158,0.66103,0.35154,1.77477,2.14006,1.55644,1.25935,0,0.0003284,0.0003284,0.0003284
106,2950.51,1.38317,1.83798,1.01633,0.98024,0,0.62888,0.60526,0.61194,0.31592,0.65622,0.63158,0.65807,0.35527,1.7685,2.08921,1.70412,1.25775,0,0.00032675,0.00032675,0.00032675
107,2975.61,1.37461,1.85076,1.10001,0.99142,0,0.64396,0.63158,0.62251,0.31615,0.67558,0.65789,0.67287,0.3804,1.76517,2.02791,1.64683,1.25954,0,0.0003251,0.0003251,0.0003251
108,3000.05,1.40835,1.77788,1.0977,1.03916,0,0.63171,0.65789,0.63844,0.31552,0.65363,0.68421,0.6899,0.38417,1.7487,1.96188,1.46491,1.25734,0,0.00032345,0.00032345,0.00032345
109,3024.09,1.27841,1.57888,1.62507,0.94546,0,0.61833,0.68217,0.61822,0.31236,0.63509,0.73684,0.68223,0.37193,1.74592,1.92083,1.38221,1.25451,0,0.0003218,0.0003218,0.0003218
110,3049.08,1.36792,1.84088,1.12181,1.02266,0,0.63547,0.71053,0.68233,0.30965,0.61009,0.76316,0.67716,0.35586,1.7295,1.91775,1.34595,1.24312,0,0.00032015,0.00032015,0.00032015
111,3073.25,1.53803,1.79637,2.38989,1.05572,0,0.63547,0.71053,0.68233,0.30965,0.61009,0.76316,0.67716,0.35586,1.7295,1.91775,1.34595,1.24312,0,0.0003185,0.0003185,0.0003185
112,3096.51,1.26929,1.75146,0.9766,0.99565,0,0.62748,0.73684,0.66851,0.30607,0.60307,0.76316,0.67684,0.36167,1.70051,1.95451,1.43883,1.21879,0,0.00031685,0.00031685,0.00031685
113,3119.82,1.24884,1.78962,1.03262,0.96728,0,0.56998,0.63158,0.63248,0.28963,0.56576,0.63158,0.64594,0.32357,1.66015,1.98637,1.72368,1.19004,0,0.0003152,0.0003152,0.0003152
114,3145.72,1.28981,1.60251,1.12537,0.93335,0,0.58211,0.52632,0.57712,0.25982,0.57841,0.52632,0.59328,0.30928,1.62302,1.97797,1.96996,1.16746,0,0.00031355,0.00031355,0.00031355
115,3169.84,1.52497,1.87784,1.40662,1.04818,0,0.64721,0.5,0.55896,0.26703,0.64721,0.5,0.57296,0.29465,1.63088,1.94046,2.05852,1.18208,0,0.0003119,0.0003119,0.0003119
116,3194.58,1.32571,1.80214,1.12868,0.97514,0,0.69609,0.5,0.58586,0.28637,0.69609,0.5,0.5919,0.32887,1.62194,1.90337,1.95068,1.19113,0,0.00031025,0.00031025,0.00031025
117,3218.82,1.42205,1.75869,1.14228,1.00198,0,0.58243,0.62414,0.61249,0.30717,0.58243,0.62414,0.61945,0.33346,1.63028,1.85646,1.65545,1.21364,0,0.0003086,0.0003086,0.0003086
118,3243.87,1.29808,1.83065,0.92689,0.96746,0,0.62983,0.58216,0.62985,0.30443,0.62983,0.58216,0.63709,0.35204,1.64501,1.84342,1.50922,1.23786,0,0.00030695,0.00030695,0.00030695
